 -3156,  -620,   164,  1751,   484,  -449;
 -4204, -3928,  -596, -1620,   422,  7701;
 -3492, -6692,  -332, -1638,   589, -1572;
  8188,  -220,  1936,  -293,  -447,  -387;
 15236,    28,  1696,   246,    92,  1050;
  1116,  2148,  1048, -1605,  2897, -1382;
  4088, -1164,  6156,   586,  -354, -1606;
  -268,  1292, -2392, -2017,  2359,   665;
 -9444,   120,  -948,  1588,  -851,   -88;
  -384,   324,   372,  -183, -9375,  1336;
 -1272,  4068, -2972,   167,  2833,  2337;
  -432, -2984,  1544, -1769,  1117,  7730;
  5320, -4904,  5476,  2044,  -863,-10225;
  7272,  -212,  -728,   859, -1120,  -843;
 11452,  -896, -1084,   268,  -407,   567;
  3272,  1400, -3724, -1920,   487,  1027;
  3100,  -764, -3824,   300,  -345, -1849;
 -2920, -1036,  1192,   348,   440,   620;
  -256,   376,   144,  -195,   -71,  3078;
  9976, 11740, -2636,  -851,  1316,  4252;
 -1008, -6520,  3428,  2059, -1669, -6418;
  3948, -2184, -2008,  1605,  1240, -4262;
  8740, -1300,  1452,   117,   -90,   354;
  9744, -2224,  1424,  1630, -1572,  1032;
 -5684,  1260,  2480,  -869,  1103,   817;
 -2236,  1136, -2348,   603,  -220, -1039;
 -4104,  -704,  -492,   -21, -1230,   481;
-13684,   264,  -972,  -611,   452,  -428;
 -1448, -2204,  -452,  -928,  1489,   775;
  7108,  4128,   172, -1681,   891,  8405;
  1116, -2680,   260,  1338,   811, -1045;
  5712,  1248,   460, -2416,  1701, -1140;
  6612,  -256,   908,   374,  -133,   183;
   408,  -768,  -132,  1010,  -124, -1621;
  5836,   548, -1692,   206,   288, -1661;
 -6812,  -676,   828,   709,    37, -1008;
-10416,    96, -1380,  -603,   401, -1135;
 -2908, -1156,  1480,   333,  -111,   915;
 -1932,   576, -2228,   537,  -720,  3562;
   100,  2008,  -844, -1939,  1838,   583;
  9980, -2676,  7004,  -759,  1227, -2080;
  5516,  4556,  -136, -1322,   850, -1210;
  2880, -1552,  2816,  -152,   -56,   623;
  1340,  -636,   972,  2191, -2530,  1988;
 -3540, -1064,    60,   456,  1061,   -40;
-11736,  -820,   312,   591,  -434,   394;
 -5652,  -192,  -404,  -841,   320,  1452;
  9568,  -248,  2368,  -555,  -328,  4307;
 -4120, -1976, -1564, -1442,  -753,  1946;
 -4256,  2068, -1888,  2992, -2475, -3683;
  4392,   500,   368,  1459, -1885, -4631;
  4624, -1048,  1820,  -177, -1115,   254;
  4340, -1204,  2568,  -231,  -117,   837;
 -1680,  2004,  -380, -1053,   176, -1679;
 -7664,  -420, -1508,  -482,   252,  1247;
 -9612,    64,  -948,   -27,   -20,   198;
 -5528,  1228,  -944,  -518,  2176,   238;
  6592,   808,  3224,   318,    47,  5141;
 -4544, -7072, -1840,   521,    18, -9785;
  5108,   712,   928,   906,  -232, -1393;
  8808, -1440,   660,  -251,  -104,  2478;
   188,   -28,   316, -2714,  1971,  1191;
  2976,   976,   944,   -99,  -201,   246;
  4616,  1268, -3972,   634,    63,  -748;
 -6824, -3172,  -472,  1528,   215,  1110;
 -2872, -1260,  -136,  -379,    96,  3270;
  2040, -7172,  5112,  -434,  1105,  3329;
 -2148, -4364,  5580,   505,  -810,  4508;
 15504,  4288, -2276,  -112,  1898,-12454;
  6604, -1184,   200,  -261,   769, -4438;
  4420,   564, -1076,  1472, -1614,  -487;
  5496,  -936, -1604,   174,  -305, -1110;
 11208,  2576, -5756,  2009, -1943,  -803;
 -3868,   220,   -40, -1265,   423,   735;
 -3808,   104,  -104,   -38,  -177,   464;
-16824, -2972, -1712,   193, -3640,  1125;
-10032,   540, -4296, -1105,  1076,  1510;
  1132,  4808,  -672,   188, -1261,   446;
  9428,   504,  2256, -1762, -1732,  1909;
   784,   264,   -68,   174,    34, -1329;
  2876,  -416,  1380,  2177,  -623, -1215;
  2256,  1012, -1760,  -871,  -574,  -680;
  3596,  1208, -1240,   -10,   201, -2988;
 -9688, -1352,   688, -1118,   883,   772;
 -1880,  -992,  -268,  -834,     0,  6914;
 -5520, -6752,   840,  -645,   537,  3535;
 -7012,  -540, -1264,  1047,   349,   666;
  2280,   120,  3412, -1089,  -566,  -767;
  9108,    96,   456,   225,  -498,  -912;
  8448,  -304,   916,    10,   295,    40;
  8632,   980,  -500,  -397,    45,   388;
  1536,   984, -1884, -1534,  -312,   846;
   468,   152,  -404,  -217,   506,  -470;
  -312,  1284, -1744,   275,  -401,    41;
  -272,   100,  -140,  -350,   -27,  2640;
 -9308, -4272,   796,  -183, -1375,  1442;
  4540, -2744,  9644,  1042,   203,  -225;
 -3332,  -784, -2112,  -365, -2222, -2405;
  5932,   556,   560,   181,   -22, -2711;
 -1300,   872,  -700, -1537,  2191, -7063;
  3512, -1220,   592, -1512,  2179,  -743;
  6504, -1380, -4304,  1742, -2861,  -804;
-12144, -2736,  2440,   229,  -133,   264;
 -1808,   188,  -212,  -187,    75,  1564;
 -3484, -1384,   804,  1453,  -749,  1494;
 -7656, -3864,   428,   181,  -991,  1422;
   -64,  1696,  2508,  -238,   348,  -903;
  7752, -2476,   872,  1953,   349, -3882;
  8408,   520,  1704,   -24,  -444, -1282;
  2008,  -464,  2772,  -123,   107,   443;
 -5568,   380, -1240, -1124,  -755,   905;
  1500,   536,  -776, -1170,  1413,  -737;
  1528,   284,  -504,   212,  -108,   573;
-11384, -3304,  -280, -1807,  1253,  5536;
 -1420,   964, -3108,   162, -1873, -1615;
  -664, -7560,  2380,  -518,  3076,    98;
  1716,  2472,   180,   -99,  -164,   -63;
  3548,   -76,   836,   424,  -254, -4659;
   740,   192, -1012,  -746,   878,  -840;
-19140,   292,  3424,  2171,   300,   628;
  3788,   324,  -444,   377,   317,  -179;
 -7588,  -812,  -592,    33,   228,   -16;
 -8856,   -68,  -660,   236,    83,  -367;
 -8500, -2556, -1504,  -867,  -421,  2823;
 -3048,  3988,  -728, -1603,  -469,  3624;
   976,  4152, -1452,  -612,  -370,   596;
  6592, -3356,   856,  1523,  -734, -2826;
  3552,   588,   304,   918,  -156, -9622;
 -8340,  -552,  4208,  -310,  1036,  1219;
 -4064,  -300,  -104,  -938,  -841,  -823;
 -1916, -1256, -1492,   697, -1624,    59;
  -404,   840, -1900,   852, -1295,   -53;
 -3028,   -84,  -296,   -14,     6,   153;
 -9976,    76, -2592,    36,   157,   -20;
  9548,  5844,  1016,  -717,  -989,  3806;
 -4876,  -204, -3648, -1517,  -701, -6053;
 -1920,  -528,  -940,   750,  -130, -2349;
  -180,    32,  -288,    32,    34,    35;
  -416, -1180,  1004,  -359, -1011,  1582;
  2820,  -804,  4356,  1404, -1265,  -191;
 -4296, -1728,   520,  1533,  -678,  -919;
 -8836,  -116,   596, -2157,  -443,    49;
 -3928,  -100,  -456,     0,   -22,   106;
   916,  -892,  1032,  2613,  -320,   240;
  1412,  1808,  -708, -1397,  -302,  3787;
 -1848, -4756,  1448,   -48,  -934, -5087;
  3444,  1312,  2040,  -275, -1282,  -834;
  3464,     0,   136,    44,   -13,    73;
 -1016, -2332,  -676,   -35, -1111,  1558;
  3324,   644,  -464, -1711,  -488, -1220;
  1400,  -788,  -524,  -201,  -601,  -810;
 -8720, -1372,  2696,  1255,  -722, -1870;
 -6156,   -56,  -608,    19,  -138,  1408;
 -3728,  1640,  1556,  1797,   722,  1087;
 -1152, -3124,  2104,   477,    65,  5139;
  3380, -2348,  3904,   475,  1053, -3562;
  7936, -2524,  1604,  2118,  1053, -2057;
  2448,   196,  -232,   289,  -307,  -881;
  2096, -2000,  -248,   765,   123,  1094;
  4728,   768, -1432, -1529,  1033,   -58;
-12068,  1728, -2536,  -775,   763, -1148;
  2112,  -180,  -548,  -470,   -23,  -408;
-10508, -4584,   920,  -143,   -74,   419;
 -1644, -2716, -1560,   -55,   380,  4634;
  3648, -5596,   144,  2319, -1293, -2988;
  7232, -2240,  -472,  1115,   192, -3441;
  4092, -1316,   448,   534,  -499,   928;
  3472,   676,  -380,  1858,  -161,  -166;
  -696, -1380,  1868,   863,    48, -1902;
 -5240,  1644, -2464,  -736,   121,  -250;
 -7768,  2196, -2224,   324,   370, -1289;
  -152,   -72,    52,  -109,    91,    13;
 -7464,  1576, -3172,  -731,   499,   373;
