   -60,    16,  -256,   -16,     2,    -8;
    72,   -16,  -212,   -23,    13,    22;
    24,   -28,  -132,    -8,     7,     6;
    -8,   -20,   -96,   -20,    -4,    17;
   -44,    48,   -84,   -16,    -4,    12;
   -20,   -32,  -192,   -47,    25,    18;
   -16,   -76,   -68,   -19,     9,    28;
   -92,    92,  -144,    -1,     9,    23;
    24,   -28,  -180,   -25,    -1,    20;
   -44,   -88,  -100,   -16,     1,     0;
   -84,    36,   -80,   -16,    -7,    13;
   -84,    52,     4,    -5,    21,     6;
   -12,     0,  -136,   -32,   -11,    -3;
  -136,   -20,  -180,   -11,    -6,    11;
   -80,    68,  -100,     2,    21,   -15;
  -108,     0,   -64,    -5,    23,     9;
  -108,    36,   -48,    -1,     7,    -2;
   -64,   -40,  -112,   -31,    16,     3;
   -72,   -28,   -72,   -11,    26,    32;
   -60,   -84,   -16,   -23,     3,    14;
    16,    44,  -104,   -11,     8,     2;
   -24,    -4,   -84,    -7,     9,     8;
   -12,     8,   -92,   -14,     3,    12;
   -20,    28,  -120,   -13,     5,   -17;
   -84,    -8,  -220,   -14,    22,    15;
  -148,    16,   -84,   -30,    35,    21;
  -136,    36,   -24,   -13,    12,    -2;
  -136,    -4,  -316,    -4,    -1,    10;
   -80,   -68,  -268,   -28,    18,    -4;
    20,   -16,   -64,     1,    24,    11;
   -64,    12,   -80,    -3,   -13,    11;
   -40,   -56,   -32,    11,     2,     9;
  -112,    32,  -156,   -25,    15,     3;
   -76,    52,   -24,     3,    23,    10;
   -52,   -68,   -32,   -19,    22,    13;
   -48,   -20,     0,     0,    26,    -3;
   -44,    16,  -204,   -13,    27,     7;
  -112,    28,  -212,   -10,    16,     2;
  -172,   -44,   -88,    -4,     9,   -12;
  -148,   -12,  -232,   -50,     1,    17;
  -116,   -76,    -8,    -1,   -25,     8;
  -124,   -40,  -208,   -12,     5,   -18;
   -84,    24,  -128,     4,     6,    14;
    28,     4,     0,   -13,     0,    -5;
   -76,   -16,  -124,   -33,    28,    35;
   -48,  -128,  -204,   -21,     3,    30;
   -32,   128,  -188,   -13,    12,     8;
    52,    36,  -152,   -16,    11,     3;
  -144,    20,   -28,   -23,   -13,     2;
  -148,    44,  -136,   -29,    30,    24;
   -32,   -20,   -56,   -26,   -15,    26;
  -160,     0,  -224,    -6,    15,   -32;
  -116,   -12,  -184,   -28,    26,    -1;
   -60,   124,  -196,     0,    36,    11;
     0,    80,   -96,    -4,   -12,    25;
  -148,     8,  -148,   -22,    26,    14;
   -72,   -48,  -236,   -27,    11,    16;
   -32,     0,   -76,   -31,     8,    19;
  -180,   -72,  -140,   -21,    11,    45;
    24,  -100,  -172,   -36,     5,    33;
   -48,   -76,  -300,    -8,    15,    14;
  -184,   120,   -92,   -29,     2,     6;
  -124,    16,  -164,   -38,     1,     1;
   -20,   -64,  -132,   -11,     2,    11;
  -104,   -52,  -188,   -17,    18,     4;
   -56,     4,  -164,    -8,   -11,    14;
    24,   -24,    -8,   -26,    11,    18;
   -12,   -64,  -116,   -22,    40,    29;
   -92,   -36,  -100,    -4,   -27,     2;
   -36,    36,  -112,    -5,     4,    24;
   -88,    80,  -260,     1,    24,    20;
  -120,   -28,   -36,     3,    -6,    20;
   -20,    92,  -256,   -26,    19,     5;
   -72,   -72,  -164,   -15,   -19,    25;
   -84,    48,   -36,   -18,     6,     6;
    44,     8,  -224,   -20,    10,    45;
  -116,   -60,   -24,   -18,    14,    21;
   -24,    88,   -60,   -44,     8,     4;
  -160,   -56,   -48,   -14,     4,    -5;
   -80,   -72,  -212,     9,    19,    34;
    24,    40,   -84,    -3,    16,    16;
    40,    32,  -108,    -6,    33,    11;
   -84,  -108,  -120,    -4,    14,     3;
    12,    24,  -116,     5,     6,    10;
  -152,     0,  -168,     2,    29,    12;
     8,   -68,  -180,   -16,    -4,    17;
   -80,    64,   -48,   -11,    12,   -17;
     0,    12,  -140,   -14,    28,     8;
   -56,   -88,  -196,    -3,   -20,   -19;
    52,   -20,   -40,    -3,     7,    15;
