  2904, -9648, -5624,    76, -3969, -1517;
  6232,  1720,   144,   120,   573,    19;
  4820,  7696, -4584, -1953, -2902, -1367;
  4924, -1296, -1024, -1469,  2131,   147;
  5168, -3980, -1220, -1033, -1341,   515;
  2500, -5356, -1584,   899, -2832,  1305;
  6640,  1732, -1864,   536,  1907,   -97;
  4772,   904,   816,  -624,   505,    46;
  4148, -1988, -1784,  2705,   149, -1156;
  6364, -6028, -1332,  -864, -2734,  1152;
  5588,  -644, -2732,  -678, -1449,  -182;
  4896,   404,  -360, -1275, -1079,  -131;
  6320,   252, -2136,  -633,  -182,   556;
  9092, -8432,  3772,  -110,  3270,   663;
  3848,  2784,   376,   828,   252,  1789;
  4036,  9352, -3164,  5331,   207,  7201;
  6408,    40,  -788,   -25,  -187,     4;
  3544,  1060,   436,  -213,   422,  1411;
  2860,   464,    16,  1841,  -356,  -813;
  5168, -4348,  -848,   227, -2016,  -756;
  7668,  2356, -2248, -2628,  2813,  1066;
  5820,  -900,  -964,  -694,   932,  -233;
  4648,  -400,   440,  1530,  -768,  -947;
  6892, -3984,  -476,  -111,  1405,   293;
  6008, -2760,  -684,    37,   -74,  -101;
  4876, -1988, -2188,  -469,   147,  -748;
  5604,  4848,  -456,   -87,   541, -1081;
  4284, -4312,  2140, -1663,  -520, -1612;
  3980, -1544, -2720,   492,  -694,  -297;
  8104, -3608,   532, -2105,  1141,   193;
  4832, -2768,  1608,  -955,   523,  -676;
  6396,  7744,  -368,   379,  1575,    32;
  4416,  1836, -2224,  1751,  -330, -1224;
  5500,  -616,  -596,   332,  -386,   267;
  4832, -2868,  -644,  1251,  -196,  -931;
  7004, 13776,  1992,   785,  1669,   451;
  5648,  2880,  -616,  -240,   700,   496;
  6492, -1360, -1912,  -919,  -303,   435;
  5348, -1024, -1148,  -620,  -624,  -252;
  7036, -2332, -2580,  -306,  1564,   -34;
  2448, -3784, -2168, -1858,  -689,  1829;
  5896,  5284,  -656,  -397,  -281,  -153;
  7356, -3676,  1988,  2648,   181,  -618;
  4328, -2348,  -240,  2038,  -839,  -186;
  6008,  1784,   748, -1826,  1667,   443;
  5548,  4796,   588,  1385,  -867,   213;
  5860,   128,  -680,  -147,   250, -1055;
