  5356,  -876,  1640,  2946,  1269,  -132;
  4896, -1248,  4160,  2877,  2104, -1423;
  4384, -2220,   644,  -498,  4313,  2554;
  2148, -3544, -5900,  3154, -1291,  2490;
  2132, -1860,-10568,  2284, -3755,   504;
  3228,   980, -6828, 10241, -1319, -2430;
  4308,   628, -3044, -1820,   292, -1766;
  3176, -1948,  -768, 10200, -7582,-10717;
  5320, 11512,  3852, -7955,  1104,   738;
  5864,  1864,    64, -2202, -3462,  1639;
  4956,  1388,  -976, -4436, -1306,   875;
  6324,  2304,  3460,  -518, -3419,   842;
  7260,  1344,  -836, -5017, -2007,  1311;
  6840,   700, -1356, -2646, -1082,  -200;
  6588,   620, -1124,   178,   962,  -258;
  7168,   684,  -972,  -626, -5975,  2963;
  6708,   268, -1164, -1651,   137,   141;
  7888,  -204,  -488,-10790,   179,  -884;
  7100,  -648,  -956,   590,   -47, -1028;
  7860, -1260, -1176, -3416,  -929,  1464;
  7744, -1488, -1792,  -554,   200,   453;
  7724,  -904, -2076,   -70,    61,  -375;
  7168, -1384,    80, -3126,  -852,   717;
  9764, -1924, -1212, -1843,  -340,    69;
  9868, -1596,  1104,  3049, -2477,  -535;
  9708, -4240,  6048,  7108,  -877, -4191;
  7220,  2156,  2156,  8282,    66, -1157;
  6580, -1280, -2268, 10006,  4391,  -881;
  8000,  -496,   384,  9360,   595, -1200;
  7604,   624, -2688,  1009,  -358,   115;
  4820,   832, -5080, 13833,  6534, -4988;
  5608,   808, -4680, -5895,  3838,   770;
  5508,  1368, -5692, -6686,  2421,   296;
  3948,   476,  -692,  5362,  3275, -4498;
  5772, -1032,  -172, -1760,  -738,   215;
  4068,  -504,  5792,  1137, -1010,   196;
  3996,   -36,  -780, -2180,   926,  1021;
  5880,  -916,  2756, -7656,-10778,  4320;
  6788, -2648,  4436,  1394, -4841, -1502;
  6164,  -892,  -308,  -691,  2409, -1991;
  5668, -2500, -3884,  5309,  3755,   951;
  5408,  2252, -6168,  2035,  2985,  1461;
  4328,   296, -3912, -2136,  6241, -3403;
